;p;r;f;vc;a;vo
67;1.8912198695652176;89.79122318301572;1000.0;20.0;0.03;53.57970719599998
68;1.8190307326388886;88.78936853104342;1000.0;20.0;0.03;53.57970719599998
69;1.9182704661016952;87.80962377483881;1000.0;20.0;0.03;53.57970719599998
70;1.8269619600000016;86.81178714103382;1000.0;20.0;0.03;53.57970719599998
71;1.9608161077586208;85.75928680299704;1000.0;20.0;0.03;53.57970719599998
72;2.0030396870229015;84.73200164608448;1000.0;20.0;0.03;53.57970719599998
73;1.9402443306962027;83.69234518416933;1000.0;20.0;0.03;53.57970719599998
74;1.884280605468751;82.64211670717197;1000.0;20.0;0.03;53.57970719599998
75;1.9325731578947372;81.58305498089466;1000.0;20.0;0.03;53.57970719599998
76;24.21965045263158;101.2650751380034;1000.0;20.0;;565.1645990870003
77;23.133115713687147;92.66663353239903;1000.0;20.0;;565.1645990870003
78;20.944070408571424;101.2650751380034;1000.0;20.0;0.25;390.73363734200007
79;20.562434449704153;92.66663353239903;1000.0;20.0;0.25;390.73363734200007
80;22.32356838757396;101.2650751380034;1000.0;20.0;0.25;413.553051802
81;21.929819321428564;92.66663353239903;1000.0;20.0;0.25;413.553051802
82;24.212896757440483;101.2650751380034;1000.0;20.0;0.25;447.0614209
83;23.50530195857989;92.66663353239903;1000.0;20.0;0.25;447.0614209
84;21.83563402941177;101.05075751866372;1000.0;20.0;0.25;460.5748733000001
85;21.35988881508876;92.44236772036516;1000.0;20.0;0.25;460.5748733000001
86;20.862538169444445;101.05075751866372;1000.0;20.0;0.25;474.21887040399986
87;22.086605119117657;92.44236772036516;1000.0;20.0;0.25;474.21887040399986
88;22.96585292955801;101.05075751866372;1000.0;20.0;0.25;486.63570467999966
89;23.187661321823224;92.44236772036516;1000.0;20.0;0.25;486.63570467999966
90;24.907968405219783;101.05075751866372;1000.0;20.0;0.25;499.27734866000014
91;25.386175903314907;92.44236772036516;1000.0;20.0;0.25;499.27734866000014
92;21.720756596994534;100.83734514798016;1000.0;20.0;0.25;513.0746453099998
93;21.531731157967034;92.21918479491762;1000.0;20.0;0.25;513.0746453099998
94;22.729584164835163;100.83734514798016;1000.0;20.0;0.25;544.0130909469999
95;21.66240859656086;92.21918479491762;1000.0;20.0;0.25;544.0130909469999
96;20.20196759269663;82.78540602959445;1000.0;20.0;;707.6965301312998
97;12.057192666666662;95.58855440954676;1000.0;20.0;;707.6965301312998
98;13.602071230324077;91.33712659506189;1000.0;20.0;;707.6965301312998
99;17.539326606783916;86.93032849807665;1000.0;20.0;;707.6965301312998
100;14.945107115291266;85.37591940557641;1000.0;20.0;;707.6965301312998
101;18.002146838917536;83.83930277009412;1000.0;20.0;;707.6965301312998
102;15.429853489417996;82.25061658495883;1000.0;20.0;;707.6965301312998
103;15.72478359031414;80.61879768268233;1000.0;20.0;;707.6965301312998
104;16.750021770467825;82.78540602959445;1000.0;20.0;0.3;181.95871517100005
105;11.74797748378378;95.58855440954676;1000.0;20.0;0.3;181.95871517100005
106;12.189955132978733;91.33712659506189;1000.0;20.0;0.3;181.95871517100005
107;14.535951946524047;86.93032849807665;1000.0;20.0;0.3;181.95871517100005
108;12.395125166666666;85.37591940557641;1000.0;20.0;0.3;181.95871517100005
109;14.715204431318675;83.83930277009412;1000.0;20.0;0.3;181.95871517100005
110;12.434846156424584;82.25061658495883;1000.0;20.0;0.3;181.95871517100005
111;13.290139566298347;80.61879768268233;1000.0;20.0;0.3;181.95871517100005
112;15.760937466257664;82.78540602959445;1000.0;20.0;0.3;190.73353830800002
113;12.83003152868853;95.58855440954676;1000.0;20.0;0.3;190.73353830800002
114;11.998161084254141;91.33712659506189;1000.0;20.0;0.3;190.73353830800002
115;13.499684327956992;86.93032849807665;1000.0;20.0;0.3;190.73353830800002
116;12.214783980978268;85.37591940557641;1000.0;20.0;0.3;190.73353830800002
117;13.846437816384181;83.83930277009412;1000.0;20.0;0.3;190.73353830800002
118;12.017841095714283;82.25061658495883;1000.0;20.0;0.3;190.73353830800002
119;12.790495963687151;80.61879768268233;1000.0;20.0;0.3;190.73353830800002
120;15.6670604421875;82.78540602959445;1000.0;20.0;0.3;196.40595712209992
121;13.959690809392272;95.34994094372163;1000.0;20.0;0.3;196.40595712209992
122;12.655472038770053;91.33712659506189;1000.0;20.0;0.3;196.40595712209992
123;14.156837804469273;86.93032849807665;1000.0;20.0;0.3;196.40595712209992
124;13.325992294444458;85.37591940557641;1000.0;20.0;0.3;196.40595712209992
125;14.305552446629205;83.83930277009412;1000.0;20.0;0.3;196.40595712209992
126;13.12752127873563;82.25061658495883;1000.0;20.0;0.3;196.40595712209992
127;13.604668386363649;80.61879768268233;1000.0;20.0;0.3;196.40595712209992
128;16.57413987575758;82.53497480997166;1000.0;20.0;0.3;201.30564868200003
129;15.083310063535908;95.34994094372163;1000.0;20.0;0.3;201.30564868200003
130;13.74622830662982;91.11924222818435;1000.0;20.0;0.3;201.30564868200003
131;16.071748290502793;86.65423398832777;1000.0;20.0;0.3;201.30564868200003
132;14.026205171270696;85.14753977274829;1000.0;20.0;0.3;201.30564868200003
133;16.41529544413408;83.58246464344613;1000.0;20.0;0.3;201.30564868200003
134;15.443756269886372;81.96821103445254;1000.0;20.0;0.3;201.30564868200003
135;15.791126488888894;80.3474681153868;1000.0;20.0;0.3;201.30564868200003
136;16.89190311111111;82.53497480997166;1000.0;20.0;0.3;206.16927107
137;14.791532457182324;95.34994094372163;1000.0;20.0;0.3;206.16927107
138;14.818591258287308;91.11924222818435;1000.0;20.0;0.3;206.16927107
139;16.664624975138118;86.65423398832777;1000.0;20.0;0.3;206.16927107
140;14.830717254189947;85.14753977274829;1000.0;20.0;0.3;206.16927107
141;16.058741245901643;83.58246464344613;1000.0;20.0;0.3;206.16927107
142;15.918436934659082;81.96821103445254;1000.0;20.0;0.3;206.16927107
143;16.09825698870056;80.3474681153868;1000.0;20.0;0.3;206.16927107
144;16.604359499999987;82.53497480997166;1000.0;20.0;0.3;210.93782152400004
145;15.884803980978266;95.11251579196932;1000.0;20.0;0.3;210.93782152400004
146;14.759515475000008;91.11924222818435;1000.0;20.0;0.3;210.93782152400004
147;16.065938109550558;86.65423398832777;1000.0;20.0;0.3;210.93782152400004
148;15.048337988888894;85.14753977274829;1000.0;20.0;0.3;210.93782152400004
149;15.781692067796607;83.58246464344613;1000.0;20.0;0.3;210.93782152400004
150;15.540077903409086;81.96821103445254;1000.0;20.0;0.3;210.93782152400004
151;15.650426036516858;80.3474681153868;1000.0;20.0;0.3;210.93782152400004
152;17.685475759202454;82.25061658495883;1000.0;20.0;0.3;215.7004881351001
153;15.313217410614525;95.11251579196932;1000.0;20.0;0.3;215.7004881351001
154;15.812634093922659;90.8591492437081;1000.0;20.0;0.3;215.7004881351001
155;16.90256803910614;86.41897362455856;1000.0;20.0;0.3;215.7004881351001
156;16.002780955307266;84.88263631567752;1000.0;20.0;0.3;215.7004881351001
157;16.869149627094977;83.290855521271;1000.0;20.0;0.3;215.7004881351001
